Date,Inflation 1yr,GNP 90d,Total Jobs 30d,XLY 30d,XLU 30d,XLE 30d,XLE next 30d
10/3/05,0.00959201,0.01105774,-0.00006686,-0.04019067,-0.00064894,0.04340123,0.05180460
10/4/05,0.00953899,0.01105774,-0.00006686,-0.04033962,-0.00496955,0.04305625,0.04960805
10/5/05,0.00953874,0.01105774,-0.00006686,-0.04042991,-0.00943738,0.04314942,0.04675162
10/6/05,0.00953849,0.01105774,-0.00006686,-0.04021961,-0.01389230,0.04348427,0.04337067
10/7/05,0.00953824,0.01105774,-0.00006686,-0.03990757,-0.01819176,0.04440094,0.03916148
10/10/05,0.00959026,0.01105774,-0.00006686,-0.03933962,-0.02250691,0.04531325,0.03461191
10/11/05,0.00953725,0.01105774,-0.00006686,-0.03833957,-0.02639208,0.04643930,0.02974077
10/12/05,0.00953700,0.01105774,-0.00006686,-0.03706554,-0.03011687,0.04779823,0.02473475
10/13/05,0.00953675,0.01105774,-0.00006686,-0.03550157,-0.03358434,0.04924682,0.01919391
10/14/05,0.00953650,0.01105774,-0.00006686,-0.03368017,-0.03666592,0.05031287,0.01404638
10/17/05,0.00958850,0.01105774,-0.00006686,-0.03156347,-0.03936142,0.05176144,0.00873511
10/18/05,0.00953550,0.01105774,-0.00006686,-0.02927982,-0.04173916,0.05280440,0.00367706
10/19/05,0.00953525,0.01105774,-0.00006686,-0.02669757,-0.04355867,0.05378006,-0.00104589
10/20/05,0.00953501,0.01105774,-0.00006686,-0.02408051,-0.04502472,0.05470098,-0.00562296
10/21/05,0.00953476,0.01105774,-0.00006686,-0.02137213,-0.04595340,0.05530036,-0.00991610
10/24/05,0.00958675,0.01105774,-0.00006686,-0.01838168,-0.04651332,0.05587426,-0.01371883
10/25/05,0.00953376,0.01105774,-0.00006686,-0.01545704,-0.04679627,0.05635254,-0.01747030
10/26/05,0.00953351,0.01105774,-0.00006686,-0.01230972,-0.04669215,0.05655217,-0.02066205
10/27/05,0.00953326,0.01105774,0.00000000,-0.00907173,-0.04636403,0.05677282,-0.02371180
10/28/05,0.00953301,0.01105774,0.00139404,-0.00565445,-0.04554062,0.05643510,-0.02621471
10/31/05,0.00958500,0.01105774,0.00139404,-0.00201319,-0.04437702,0.05588501,-0.02816954
11/1/05,0.00953202,0.01105774,0.00139404,0.00154736,-0.04291485,0.05501874,-0.02979299
11/2/05,0.00953177,0.01105774,0.00139404,0.00528630,-0.04084558,0.05355880,-0.03094922
11/3/05,0.00953152,0.01105774,0.00139404,0.00897255,-0.03846919,0.05180460,-0.03163397
11/4/05,0.00953127,0.01105774,0.00139404,0.01255538,-0.03581943,0.04960805,-0.03177281
11/7/05,0.00958325,0.01105774,0.00139404,0.01613920,-0.03287637,0.04675162,-0.03131301
11/8/05,0.00953028,0.01105774,0.00139404,0.01951201,-0.02970377,0.04337067,-0.03035832
11/9/05,0.00953003,0.01105774,0.00139404,0.02263090,-0.02650929,0.03916148,-0.02869969
11/10/05,0.00952978,0.01105774,0.00139404,0.02559141,-0.02305994,0.03461191,-0.02645342
11/11/05,0.00952953,0.01105774,0.00139404,0.02820628,-0.01959798,0.02974077,-0.02347124
11/14/05,0.00958150,0.01105774,0.00139404,0.03054085,-0.01607014,0.02473475,-0.02032647
11/15/05,0.00952853,0.01105774,0.00139404,0.03260199,-0.01245714,0.01919391,-0.01663689
11/16/05,0.00952829,0.01105774,0.00139404,0.03435757,-0.00887603,0.01404638,-0.01280344
11/17/05,0.00952804,0.01105774,0.00139404,0.03591968,-0.00532045,0.00873511,-0.00890832
11/18/05,0.00952779,0.01105774,0.00139404,0.03714224,-0.00197659,0.00367706,-0.00486574
11/21/05,0.00957974,0.01105774,0.00139404,0.03804532,0.00114973,-0.00104589,-0.00084555
11/22/05,0.00952679,0.01105774,0.00139404,0.03861755,0.00407691,-0.00562296,0.00308963
11/23/05,0.00952654,0.01105774,0.00139404,0.03899418,0.00690916,-0.00991610,0.00742301
11/25/05,0.00955240,0.01105774,0.00139404,0.03904615,0.00946182,-0.01371883,0.01159692
11/28/05,0.00957799,0.01105774,0.00000000,0.03872572,0.01185328,-0.01747030,0.01604124
11/29/05,0.00952505,0.01105774,0.00306183,0.03803430,0.01399205,-0.02066205,0.02032759
11/30/05,0.00952480,0.01105774,0.00306183,0.03708846,0.01611659,-0.02371180,0.02459838
12/1/05,0.00952456,0.01105774,0.00306183,0.03594257,0.01799681,-0.02621471,0.02882609
12/2/05,0.00952431,0.01105774,0.00306183,0.03444144,0.01965366,-0.02816954,0.03283278
12/5/05,0.00957625,0.01105774,0.00306183,0.03282730,0.02122934,-0.02979299,0.03678899
12/6/05,0.00952331,0.01105774,0.00306183,0.03108396,0.02252336,-0.03094922,0.04050553
12/7/05,0.00952306,0.01105774,0.00306183,0.02928058,0.02366586,-0.03163397,0.04425977
12/8/05,0.00952282,0.01105774,0.00306183,0.02744449,0.02459529,-0.03177281,0.04780460
12/9/05,0.00952257,0.01105774,0.00306183,0.02559244,0.02549825,-0.03131301,0.05095641
12/12/05,0.00957450,0.01105774,0.00306183,0.02370769,0.02612980,-0.03035832,0.05389615
12/13/05,0.00952157,0.01105774,0.00306183,0.02182467,0.02667855,-0.02869969,0.05635933
12/14/05,0.00952133,0.01105774,0.00306183,0.01998176,0.02692393,-0.02645342,0.05854015
12/15/05,0.00952108,0.01105774,0.00306183,0.01813081,0.02700981,-0.02347124,0.06007988
12/16/05,0.00952083,0.01105774,0.00306183,0.01624105,0.02690403,-0.02032647,0.06132601
12/19/05,0.00957275,0.01105774,0.00306183,0.01435813,0.02657350,-0.01663689,0.06230418
12/20/05,0.00951984,0.01105774,0.00306183,0.01263322,0.02630409,-0.01280344,0.06280427
12/21/05,0.00951959,0.01105774,0.00306183,0.01086806,0.02570755,-0.00890832,0.06300850
12/22/05,0.00951934,0.01105774,0.00306183,0.00929224,0.02527548,-0.00486574,0.06283058
12/23/05,0.00951909,0.01105774,0.00306183,0.00786491,0.02476838,-0.00084555,0.06185478
12/27/05,0.00951810,0.01105774,0.00306183,0.00661155,0.02434192,0.00308963,0.06061904
12/28/05,0.00951785,0.01105774,0.00000000,0.00557000,0.02390386,0.00742301,0.05855766
12/29/05,0.00951760,0.01105774,0.00000000,0.00473745,0.02352113,0.01159692,0.05626606
12/30/05,0.00951735,0.01105774,0.00241850,0.00402901,0.02304521,0.01604124,0.05342924
1/3/06,0.00959533,0.03130215,0.00241850,0.00353141,0.02274554,0.02032759,0.05026791
1/4/06,0.00954243,0.02002299,0.00241850,0.00325676,0.02227297,0.02459838,0.04704820
1/5/06,0.00954218,0.02002299,0.00241850,0.00299301,0.02170278,0.02882609,0.04346134
1/6/06,0.00954194,0.02002299,0.00241850,0.00285713,0.02116473,0.03283278,0.03986448
1/9/06,0.00959383,0.02002299,0.00241850,0.00272319,0.02042274,0.03678899,0.03565690
1/10/06,0.00959358,0.02002299,0.00241850,0.00260535,0.01969307,0.04050553,0.03138179
1/11/06,0.00954069,0.02002299,0.00241850,0.00243988,0.01885624,0.04425977,0.02667018
1/12/06,0.00954044,0.02002299,0.00241850,0.00228881,0.01800067,0.04780460,0.02174477
1/13/06,0.00954019,0.02002299,0.00241850,0.00214507,0.01708171,0.05095641,0.01652964
1/17/06,0.00961814,0.02002299,0.00241850,0.00207941,0.01617602,0.05389615,0.01099928
1/18/06,0.00961789,0.02002299,0.00241850,0.00203145,0.01519831,0.05635933,0.00535940
1/19/06,0.00953870,0.02002299,0.00241850,0.00211646,0.01433032,0.05854015,-0.00036764
1/20/06,0.00953845,0.02002299,0.00241850,0.00221021,0.01345568,0.06007988,-0.00609178
1/23/06,0.00959033,0.02002299,0.00241850,0.00239232,0.01253185,0.06132601,-0.01166485
1/24/06,0.00959008,0.02002299,0.00241850,0.00269315,0.01178953,0.06230418,-0.01728385
1/25/06,0.00953721,0.02002299,0.00241850,0.00297087,0.01081263,0.06280427,-0.02249682
1/26/06,0.00953696,0.02002299,0.00241850,0.00325024,0.00990268,0.06300850,-0.02728051
1/27/06,0.00953671,0.02002299,0.00241850,0.00355977,0.00901414,0.06283058,-0.03181464
1/30/06,0.00958858,0.02002299,0.00547533,0.00374343,0.00807444,0.06185478,-0.03555379
1/31/06,0.00958833,0.02002299,0.00304945,0.00387193,0.00713607,0.06061904,-0.03900402
2/1/06,0.00953547,0.02002299,0.00304945,0.00393660,0.00612568,0.05855766,-0.04180904
2/2/06,0.00953522,0.02002299,0.00304945,0.00388969,0.00502137,0.05626606,-0.04429088
2/3/06,0.00953498,0.02002299,0.00304945,0.00377908,0.00403380,0.05342924,-0.04653275
2/6/06,0.00958683,0.02002299,0.00304945,0.00370598,0.00303601,0.05026791,-0.04835198
2/7/06,0.00958658,0.02002299,0.00304945,0.00354603,0.00207290,0.04704820,-0.05000974
2/8/06,0.00953373,0.02002299,0.00304945,0.00348719,0.00124890,0.04346134,-0.05111815
2/9/06,0.00953348,0.02002299,0.00304945,0.00344432,0.00050899,0.03986448,-0.05213268
2/10/06,0.00953324,0.02002299,0.00304945,0.00354301,-0.00015439,0.03565690,-0.05243553
2/13/06,0.00958508,0.02002299,0.00304945,0.00369096,-0.00065844,0.03138179,-0.05236493
2/14/06,0.00958483,0.02002299,0.00304945,0.00396610,-0.00108645,0.02667018,-0.05149057
2/15/06,0.00953200,0.02002299,0.00304945,0.00421260,-0.00147898,0.02174477,-0.05009202
2/16/06,0.00953175,0.02002299,0.00304945,0.00452987,-0.00170331,0.01652964,-0.04793016
2/17/06,0.00953150,0.02002299,0.00304945,0.00482232,-0.00193710,0.01099928,-0.04502780
2/21/06,0.00960938,0.02002299,0.00304945,0.00506861,-0.00211669,0.00535940,-0.04159293
2/22/06,0.00960913,0.02002299,0.00304945,0.00530571,-0.00227500,-0.00036764,-0.03754982
2/23/06,0.00953001,0.02002299,0.00304945,0.00544899,-0.00247367,-0.00609178,-0.03300056
2/24/06,0.00952976,0.02002299,0.00304945,0.00557625,-0.00258747,-0.01166485,-0.02841841
2/27/06,0.00958159,0.02002299,0.00643973,0.00570886,-0.00273429,-0.01728385,-0.02344155
2/28/06,0.00958134,0.02002299,0.00337997,0.00572474,-0.00299499,-0.02249682,-0.01813995
3/1/06,0.00952852,0.02002299,0.00337997,0.00581858,-0.00322504,-0.02728051,-0.01292285
3/2/06,0.00952827,0.02002299,0.00337997,0.00586474,-0.00359230,-0.03181464,-0.00750116
3/3/06,0.00952802,0.02002299,0.00337997,0.00594976,-0.00386976,-0.03555379,-0.00226565
3/6/06,0.00957984,0.02002299,0.00337997,0.00611264,-0.00420175,-0.03900402,0.00306893
3/7/06,0.00957959,0.02002299,0.00337997,0.00634613,-0.00455303,-0.04180904,0.00837331
3/8/06,0.00952678,0.02002299,0.00337997,0.00661292,-0.00488112,-0.04429088,0.01357023
3/9/06,0.00952654,0.02002299,0.00337997,0.00695179,-0.00519983,-0.04653275,0.01874404
3/10/06,0.00952629,0.02002299,0.00337997,0.00728319,-0.00563471,-0.04835198,0.02376830
3/13/06,0.00957810,0.02002299,0.00337997,0.00758447,-0.00617382,-0.05000974,0.02869716
3/14/06,0.00957785,0.02002299,0.00337997,0.00783761,-0.00679846,-0.05111815,0.03335043
3/15/06,0.00952505,0.02002299,0.00337997,0.00796532,-0.00762412,-0.05213268,0.03774429
3/16/06,0.00952480,0.02002299,0.00337997,0.00802741,-0.00856796,-0.05243553,0.04168899
3/17/06,0.00952455,0.02002299,0.00337997,0.00797876,-0.00961145,-0.05236493,0.04534219
3/20/06,0.00957635,0.02002299,0.00337997,0.00789671,-0.01080359,-0.05149057,0.04840680
3/21/06,0.00957610,0.02002299,0.00337997,0.00775310,-0.01198643,-0.05009202,0.05069053
3/22/06,0.00952331,0.02002299,0.00337997,0.00763264,-0.01314117,-0.04793016,0.05245438
3/23/06,0.00952307,0.02002299,0.00337997,0.00741873,-0.01437917,-0.04502780,0.05342734
3/24/06,0.00952282,0.02002299,0.00337997,0.00729686,-0.01552324,-0.04159293,0.05406156
3/27/06,0.00957461,0.02002299,0.00000000,0.00712776,-0.01661569,-0.03754982,0.05443376
3/28/06,0.00949556,0.02002299,0.00000000,0.00698315,-0.01759276,-0.03300056,0.05423483
3/29/06,0.00949532,0.02002299,0.00000000,0.00688647,-0.01843542,-0.02841841,0.05382175
3/30/06,0.00949507,0.02002299,0.00138998,0.00677398,-0.01914116,-0.02344155,0.05315397
3/31/06,0.00949482,0.02002299,0.00138998,0.00673892,-0.01965723,-0.01813995,0.05206576
4/3/06,0.00954660,0.03086043,0.00138998,0.00668091,-0.02001282,-0.01292285,0.05076316
4/4/06,0.00949384,0.03086043,0.00138998,0.00667708,-0.02009451,-0.00750116,0.04898873
4/5/06,0.00949359,0.01062470,0.00138998,0.00665021,-0.02018428,-0.00226565,0.04696968
4/6/06,0.00949334,0.01062470,0.00138998,0.00660746,-0.02016731,0.00306893,0.04467288
4/7/06,0.00949310,0.01062470,0.00138998,0.00651715,-0.02000238,0.00837331,0.04212574
4/10/06,0.00954486,0.01062470,0.00138998,0.00636547,-0.01971053,0.01357023,0.03948458
4/11/06,0.00949211,0.01062470,0.00138998,0.00623688,-0.01930003,0.01874404,0.03674263
4/12/06,0.00949186,0.01062470,0.00138998,0.00613805,-0.01859462,0.02376830,0.03375788
4/13/06,0.00949161,0.01062470,0.00138998,0.00607117,-0.01775883,0.02869716,0.03088764
4/17/06,0.00956938,0.01062470,0.00138998,0.00597613,-0.01670546,0.03335043,0.02765724
4/18/06,0.00956913,0.01062470,0.00138998,0.00604407,-0.01536241,0.03774429,0.02439414
4/19/06,0.00951638,0.01062470,0.00138998,0.00606660,-0.01388580,0.04168899,0.02107231
4/20/06,0.00951613,0.01062470,0.00138998,0.00613649,-0.01225467,0.04534219,0.01781845
4/21/06,0.00951589,0.01062470,0.00138998,0.00616796,-0.01066813,0.04840680,0.01428756
4/24/06,0.00956764,0.01062470,0.00138998,0.00626067,-0.00886650,0.05069053,0.01107971
4/25/06,0.00956739,0.01062470,0.00138998,0.00631480,-0.00714649,0.05245438,0.00781676
4/26/06,0.00951465,0.01062470,0.00138998,0.00643888,-0.00534710,0.05342734,0.00448374
4/27/06,0.00951440,0.01062470,0.00138998,0.00639526,-0.00361557,0.05406156,0.00108644
4/28/06,0.00951415,0.01062470,0.00128220,0.00644957,-0.00176381,0.05443376,-0.00256180
5/1/06,0.00956590,0.01062470,0.00128220,0.00643260,-0.00000450,0.05423483,-0.00640259
5/2/06,0.00956565,0.01062470,0.00128220,0.00637703,0.00179970,0.05382175,-0.01044041
5/3/06,0.00951292,0.01062470,0.00128220,0.00623086,0.00338353,0.05315397,-0.01443650
5/4/06,0.00951267,0.01062470,0.00128220,0.00599206,0.00488395,0.05206576,-0.01846412
5/5/06,0.00951242,0.01062470,0.00128220,0.00563687,0.00640383,0.05076316,-0.02261311
5/8/06,0.00956416,0.01062470,0.00128220,0.00514121,0.00769664,0.04898873,-0.02654246
5/9/06,0.00956391,0.01062470,0.00128220,0.00450520,0.00891411,0.04696968,-0.03041490
5/10/06,0.00951119,0.01062470,0.00128220,0.00370658,0.01012996,0.04467288,-0.03426345
5/11/06,0.00951094,0.01062470,0.00128220,0.00276799,0.01115124,0.04212574,-0.03788585
5/12/06,0.00951069,0.01062470,0.00128220,0.00170505,0.01198808,0.03948458,-0.04140097
5/15/06,0.00956242,0.01062470,0.00128220,0.00063810,0.01287380,0.03674263,-0.04508343
5/16/06,0.00956217,0.01062470,0.00128220,-0.00059971,0.01352685,0.03375788,-0.04839581
5/17/06,0.00950946,0.01062470,0.00128220,-0.00191459,0.01397310,0.03088764,-0.05153548
