Date,Inflation 1yr,Total Jobs 30d,GNP 90d,XLK 30d,SPY 30d,XLY 30d,XLY next 30d
10/3/05,0.00959201,-0.00006686,0.01105774,-0.01738146,-0.01165192,-0.04019067,0.00897255
10/4/05,0.00953899,-0.00006686,0.01105774,-0.01838931,-0.01283314,-0.04033962,0.01255538
10/5/05,0.00953874,-0.00006686,0.01105774,-0.01932355,-0.01400034,-0.04042991,0.01613920
10/6/05,0.00953849,-0.00006686,0.01105774,-0.02020619,-0.01502103,-0.04021961,0.01951201
10/7/05,0.00953824,-0.00006686,0.01105774,-0.02080104,-0.01588659,-0.03990757,0.02263090
10/10/05,0.00959026,-0.00006686,0.01105774,-0.02130565,-0.01661936,-0.03933962,0.02559141
10/11/05,0.00953725,-0.00006686,0.01105774,-0.02139407,-0.01699555,-0.03833957,0.02820628
10/12/05,0.00953700,-0.00006686,0.01105774,-0.02125193,-0.01718596,-0.03706554,0.03054085
10/13/05,0.00953675,-0.00006686,0.01105774,-0.02080051,-0.01710795,-0.03550157,0.03260199
10/14/05,0.00953650,-0.00006686,0.01105774,-0.01996695,-0.01679873,-0.03368017,0.03435757
10/17/05,0.00958850,-0.00006686,0.01105774,-0.01894957,-0.01623079,-0.03156347,0.03591968
10/18/05,0.00953550,-0.00006686,0.01105774,-0.01757064,-0.01550645,-0.02927982,0.03714224
10/19/05,0.00953525,-0.00006686,0.01105774,-0.01585761,-0.01439542,-0.02669757,0.03804532
10/20/05,0.00953501,-0.00006686,0.01105774,-0.01400865,-0.01319931,-0.02408051,0.03861755
10/21/05,0.00953476,-0.00006686,0.01105774,-0.01190803,-0.01172182,-0.02137213,0.03899418
10/24/05,0.00958675,-0.00006686,0.01105774,-0.00955861,-0.00998914,-0.01838168,0.03904615
10/25/05,0.00953376,-0.00006686,0.01105774,-0.00711152,-0.00816284,-0.01545704,0.03872572
10/26/05,0.00953351,-0.00006686,0.01105774,-0.00441382,-0.00611148,-0.01230972,0.03803430
10/27/05,0.00953326,0.00000000,0.01105774,-0.00155367,-0.00392470,-0.00907173,0.03708846
10/28/05,0.00953301,0.00139404,0.01105774,0.00150965,-0.00147833,-0.00565445,0.03594257
10/31/05,0.00958500,0.00139404,0.01105774,0.00492858,0.00117248,-0.00201319,0.03444144
11/1/05,0.00953202,0.00139404,0.01105774,0.00836100,0.00397672,0.00154736,0.03282730
11/2/05,0.00953177,0.00139404,0.01105774,0.01215417,0.00696312,0.00528630,0.03108396
11/3/05,0.00953152,0.00139404,0.01105774,0.01594702,0.01001201,0.00897255,0.02928058
11/4/05,0.00953127,0.00139404,0.01105774,0.01981421,0.01303626,0.01255538,0.02744449
11/7/05,0.00958325,0.00139404,0.01105774,0.02358455,0.01608196,0.01613920,0.02559244
11/8/05,0.00953028,0.00139404,0.01105774,0.02734603,0.01905316,0.01951201,0.02370769
11/9/05,0.00953003,0.00139404,0.01105774,0.03088442,0.02186564,0.02263090,0.02182467
11/10/05,0.00952978,0.00139404,0.01105774,0.03421321,0.02458600,0.02559141,0.01998176
11/11/05,0.00952953,0.00139404,0.01105774,0.03730105,0.02707179,0.02820628,0.01813081
11/14/05,0.00958150,0.00139404,0.01105774,0.04005218,0.02935754,0.03054085,0.01624105
11/15/05,0.00952853,0.00139404,0.01105774,0.04259853,0.03144707,0.03260199,0.01435813
11/16/05,0.00952829,0.00139404,0.01105774,0.04474031,0.03333764,0.03435757,0.01263322
11/17/05,0.00952804,0.00139404,0.01105774,0.04659552,0.03500061,0.03591968,0.01086806
11/18/05,0.00952779,0.00139404,0.01105774,0.04811466,0.03646861,0.03714224,0.00929224
11/21/05,0.00957974,0.00139404,0.01105774,0.04925088,0.03758032,0.03804532,0.00786491
11/22/05,0.00952679,0.00139404,0.01105774,0.05007307,0.03844085,0.03861755,0.00661155
11/23/05,0.00952654,0.00139404,0.01105774,0.05049775,0.03903635,0.03899418,0.00557000
11/25/05,0.00955240,0.00139404,0.01105774,0.05059877,0.03937282,0.03904615,0.00473745
11/28/05,0.00957799,0.00000000,0.01105774,0.05031319,0.03938733,0.03872572,0.00402901
11/29/05,0.00952505,0.00306183,0.01105774,0.04961778,0.03912913,0.03803430,0.00353141
11/30/05,0.00952480,0.00306183,0.01105774,0.04856264,0.03869681,0.03708846,0.00325676
12/1/05,0.00952456,0.00306183,0.01105774,0.04726978,0.03802547,0.03594257,0.00299301
12/2/05,0.00952431,0.00306183,0.01105774,0.04541892,0.03710625,0.03444144,0.00285713
12/5/05,0.00957625,0.00306183,0.01105774,0.04349221,0.03607003,0.03282730,0.00272319
12/6/05,0.00952331,0.00306183,0.01105774,0.04123474,0.03490351,0.03108396,0.00260535
12/7/05,0.00952306,0.00306183,0.01105774,0.03887109,0.03362078,0.02928058,0.00243988
12/8/05,0.00952282,0.00306183,0.01105774,0.03646456,0.03235577,0.02744449,0.00228881
12/9/05,0.00952257,0.00306183,0.01105774,0.03390824,0.03103593,0.02559244,0.00214507
12/12/05,0.00957450,0.00306183,0.01105774,0.03141461,0.02968196,0.02370769,0.00207941
12/13/05,0.00952157,0.00306183,0.01105774,0.02882300,0.02831149,0.02182467,0.00203145
12/14/05,0.00952133,0.00306183,0.01105774,0.02623539,0.02691989,0.01998176,0.00211646
12/15/05,0.00952108,0.00306183,0.01105774,0.02373569,0.02554317,0.01813081,0.00221021
12/16/05,0.00952083,0.00306183,0.01105774,0.02117845,0.02408581,0.01624105,0.00239232
12/19/05,0.00957275,0.00306183,0.01105774,0.01869621,0.02268363,0.01435813,0.00269315
12/20/05,0.00951984,0.00306183,0.01105774,0.01636254,0.02130543,0.01263322,0.00297087
12/21/05,0.00951959,0.00306183,0.01105774,0.01407932,0.01994518,0.01086806,0.00325024
12/22/05,0.00951934,0.00306183,0.01105774,0.01198172,0.01866993,0.00929224,0.00355977
12/23/05,0.00951909,0.00306183,0.01105774,0.01018862,0.01755183,0.00786491,0.00374343
12/27/05,0.00951810,0.00306183,0.01105774,0.00849114,0.01652624,0.00661155,0.00387193
12/28/05,0.00951785,0.00000000,0.01105774,0.00707327,0.01569828,0.00557000,0.00393660
12/29/05,0.00951760,0.00000000,0.01105774,0.00601614,0.01503378,0.00473745,0.00388969
12/30/05,0.00951735,0.00241850,0.01105774,0.00505530,0.01440782,0.00402901,0.00377908
1/3/06,0.00959533,0.00241850,0.03130215,0.00446810,0.01397954,0.00353141,0.00370598
1/4/06,0.00954243,0.00241850,0.02002299,0.00406965,0.01361456,0.00325676,0.00354603
1/5/06,0.00954218,0.00241850,0.02002299,0.00372380,0.01319506,0.00299301,0.00348719
1/6/06,0.00954194,0.00241850,0.02002299,0.00358747,0.01288372,0.00285713,0.00344432
1/9/06,0.00959383,0.00241850,0.02002299,0.00340476,0.01248459,0.00272319,0.00354301
1/10/06,0.00959358,0.00241850,0.02002299,0.00323582,0.01201257,0.00260535,0.00369096
1/11/06,0.00954069,0.00241850,0.02002299,0.00304274,0.01149427,0.00243988,0.00396610
1/12/06,0.00954044,0.00241850,0.02002299,0.00278681,0.01092799,0.00228881,0.00421260
1/13/06,0.00954019,0.00241850,0.02002299,0.00257814,0.01032362,0.00214507,0.00452987
1/17/06,0.00961814,0.00241850,0.02002299,0.00239178,0.00974582,0.00207941,0.00482232
1/18/06,0.00961789,0.00241850,0.02002299,0.00215871,0.00914755,0.00203145,0.00506861
1/19/06,0.00953870,0.00241850,0.02002299,0.00213159,0.00867598,0.00211646,0.00530571
1/20/06,0.00953845,0.00241850,0.02002299,0.00203310,0.00817669,0.00221021,0.00544899
1/23/06,0.00959033,0.00241850,0.02002299,0.00212917,0.00780996,0.00239232,0.00557625
1/24/06,0.00959008,0.00241850,0.02002299,0.00227462,0.00750668,0.00269315,0.00570886
1/25/06,0.00953721,0.00241850,0.02002299,0.00240891,0.00723348,0.00297087,0.00572474
1/26/06,0.00953696,0.00241850,0.02002299,0.00252104,0.00695597,0.00325024,0.00581858
1/27/06,0.00953671,0.00241850,0.02002299,0.00276493,0.00674854,0.00355977,0.00586474
1/30/06,0.00958858,0.00547533,0.02002299,0.00284970,0.00643709,0.00374343,0.00594976
1/31/06,0.00958833,0.00304945,0.02002299,0.00276674,0.00605590,0.00387193,0.00611264
2/1/06,0.00953547,0.00304945,0.02002299,0.00277730,0.00567330,0.00393660,0.00634613
2/2/06,0.00953522,0.00304945,0.02002299,0.00245879,0.00514677,0.00388969,0.00661292
2/3/06,0.00953498,0.00304945,0.02002299,0.00228324,0.00471209,0.00377908,0.00695179
2/6/06,0.00958683,0.00304945,0.02002299,0.00203396,0.00430161,0.00370598,0.00728319
2/7/06,0.00958658,0.00304945,0.02002299,0.00183396,0.00392506,0.00354603,0.00758447
2/8/06,0.00953373,0.00304945,0.02002299,0.00180384,0.00373863,0.00348719,0.00783761
2/9/06,0.00953348,0.00304945,0.02002299,0.00184743,0.00365001,0.00344432,0.00796532
2/10/06,0.00953324,0.00304945,0.02002299,0.00209889,0.00374337,0.00354301,0.00802741
2/13/06,0.00958508,0.00304945,0.02002299,0.00244016,0.00397869,0.00369096,0.00797876
2/14/06,0.00958483,0.00304945,0.02002299,0.00307395,0.00440803,0.00396610,0.00789671
2/15/06,0.00953200,0.00304945,0.02002299,0.00375959,0.00491088,0.00421260,0.00775310
2/16/06,0.00953175,0.00304945,0.02002299,0.00449710,0.00550576,0.00452987,0.00763264
2/17/06,0.00953150,0.00304945,0.02002299,0.00525916,0.00613810,0.00482232,0.00741873
2/21/06,0.00960938,0.00304945,0.02002299,0.00608183,0.00678014,0.00506861,0.00729686
2/22/06,0.00960913,0.00304945,0.02002299,0.00681886,0.00737798,0.00530571,0.00712776
2/23/06,0.00953001,0.00304945,0.02002299,0.00758039,0.00794282,0.00544899,0.00698315
2/24/06,0.00952976,0.00304945,0.02002299,0.00822112,0.00844343,0.00557625,0.00688647
2/27/06,0.00958159,0.00643973,0.02002299,0.00891922,0.00895698,0.00570886,0.00677398
2/28/06,0.00958134,0.00337997,0.02002299,0.00947139,0.00936053,0.00572474,0.00673892
3/1/06,0.00952852,0.00337997,0.02002299,0.01007307,0.00985994,0.00581858,0.00668091
3/2/06,0.00952827,0.00337997,0.02002299,0.01067226,0.01031280,0.00586474,0.00667708
3/3/06,0.00952802,0.00337997,0.02002299,0.01118596,0.01081147,0.00594976,0.00665021
3/6/06,0.00957984,0.00337997,0.02002299,0.01187008,0.01140700,0.00611264,0.00660746
3/7/06,0.00957959,0.00337997,0.02002299,0.01249324,0.01199248,0.00634613,0.00651715
