Date,Total Jobs 30d,XLF 30d,VNQ 30d,GDP 1yr,Inflation 1yr,XLI 30d,XLI next 30d
10/3/05,-0.00006686,-0.00500866,-0.01704598,0.06670467,0.00959201,-0.00424171,0.01552628
10/4/05,-0.00006686,-0.00494233,-0.01938240,0.06670467,0.00953899,-0.00455051,0.01790815
10/5/05,-0.00006686,-0.00473523,-0.02175533,0.06670467,0.00953874,-0.00492510,0.02042496
10/6/05,-0.00006686,-0.00440895,-0.02393679,0.06670467,0.00953849,-0.00517827,0.02288380
10/7/05,-0.00006686,-0.00387066,-0.02606726,0.06670467,0.00953824,-0.00542114,0.02528442
10/10/05,-0.00006686,-0.00319974,-0.02783295,0.06670467,0.00959026,-0.00558739,0.02768393
10/11/05,-0.00006686,-0.00210433,-0.02902030,0.06670467,0.00953725,-0.00553669,0.02995589
10/12/05,-0.00006686,-0.00080427,-0.02984775,0.06670467,0.00953700,-0.00534366,0.03213548
10/13/05,-0.00006686,0.00079629,-0.03019069,0.06670467,0.00953675,-0.00502497,0.03419558
10/14/05,-0.00006686,0.00259152,-0.03005325,0.06670467,0.00953650,-0.00458899,0.03610824
10/17/05,-0.00006686,0.00466184,-0.02956809,0.06670467,0.00958850,-0.00399104,0.03788078
10/18/05,-0.00006686,0.00697317,-0.02873698,0.06670467,0.00953550,-0.00331578,0.03954291
10/19/05,-0.00006686,0.00959582,-0.02748747,0.06670467,0.00953525,-0.00243315,0.04091595
10/20/05,-0.00006686,0.01227318,-0.02601949,0.06670467,0.00953501,-0.00155653,0.04205227
10/21/05,-0.00006686,0.01515563,-0.02423557,0.06670467,0.00953476,-0.00053439,0.04301203
10/24/05,-0.00006686,0.01825485,-0.02214733,0.06670467,0.00958675,0.00065901,0.04374267
10/25/05,-0.00006686,0.02128400,-0.01987953,0.06670467,0.00953376,0.00193844,0.04416809
10/26/05,-0.00006686,0.02446894,-0.01738642,0.06670467,0.00953351,0.00331445,0.04430963
10/27/05,0.00000000,0.02760899,-0.01476302,0.06670467,0.00953326,0.00487464,0.04419571
10/28/05,0.00139404,0.03084528,-0.01185396,0.06670467,0.00953301,0.00664734,0.04389495
10/31/05,0.00139404,0.03411656,-0.00864946,0.06670467,0.00958500,0.00867843,0.04320896
