Date,Inflation 1yr,Total Jobs 30d,SPY 30d,XLF 30d,XLY 30d,XLP 30d,XLP next 30d
10/3/05,0.00959201,-0.00006686,-0.01165192,-0.00500866,-0.04019067,-0.00309477,0.01053303
10/4/05,0.00953899,-0.00006686,-0.01283314,-0.00494233,-0.04033962,-0.00320044,0.01156705
10/5/05,0.00953874,-0.00006686,-0.01400034,-0.00473523,-0.04042991,-0.00329433,0.01260142
10/6/05,0.00953849,-0.00006686,-0.01502103,-0.00440895,-0.04021961,-0.00334998,0.01350453
10/7/05,0.00953824,-0.00006686,-0.01588659,-0.00387066,-0.03990757,-0.00339116,0.01441909
10/10/05,0.00959026,-0.00006686,-0.01661936,-0.00319974,-0.03933962,-0.00323864,0.01517244
10/11/05,0.00953725,-0.00006686,-0.01699555,-0.00210433,-0.03833957,-0.00304514,0.01585728
10/12/05,0.00953700,-0.00006686,-0.01718596,-0.00080427,-0.03706554,-0.00255235,0.01631557
10/13/05,0.00953675,-0.00006686,-0.01710795,0.00079629,-0.03550157,-0.00210645,0.01675801
10/14/05,0.00953650,-0.00006686,-0.01679873,0.00259152,-0.03368017,-0.00144902,0.01715878
10/17/05,0.00958850,-0.00006686,-0.01623079,0.00466184,-0.03156347,-0.00067370,0.01740128
10/18/05,0.00953550,-0.00006686,-0.01550645,0.00697317,-0.02927982,0.00004012,0.01770884
10/19/05,0.00953525,-0.00006686,-0.01439542,0.00959582,-0.02669757,0.00097513,0.01790838
10/20/05,0.00953501,-0.00006686,-0.01319931,0.01227318,-0.02408051,0.00178106,0.01800370
10/21/05,0.00953476,-0.00006686,-0.01172182,0.01515563,-0.02137213,0.00260176,0.01809957
10/24/05,0.00958675,-0.00006686,-0.00998914,0.01825485,-0.01838168,0.00349943,0.01808899
10/25/05,0.00953376,-0.00006686,-0.00816284,0.02128400,-0.01545704,0.00427931,0.01796088
10/26/05,0.00953351,-0.00006686,-0.00611148,0.02446894,-0.01230972,0.00509760,0.01776560
10/27/05,0.00953326,0.00000000,-0.00392470,0.02760899,-0.00907173,0.00587730,0.01750243
10/28/05,0.00953301,0.00139404,-0.00147833,0.03084528,-0.00565445,0.00667163,0.01722588
10/31/05,0.00958500,0.00139404,0.00117248,0.03411656,-0.00201319,0.00760807,0.01676751
11/1/05,0.00953202,0.00139404,0.00397672,0.03735068,0.00154736,0.00846765,0.01635923
11/2/05,0.00953177,0.00139404,0.00696312,0.04059715,0.00528630,0.00948696,0.01587272
11/3/05,0.00953152,0.00139404,0.01001201,0.04371897,0.00897255,0.01053303,0.01536112
11/4/05,0.00953127,0.00139404,0.01303626,0.04669393,0.01255538,0.01156705,0.01492617
11/7/05,0.00958325,0.00139404,0.01608196,0.04952719,0.01613920,0.01260142,0.01437801
11/8/05,0.00953028,0.00139404,0.01905316,0.05213516,0.01951201,0.01350453,0.01393544
11/9/05,0.00953003,0.00139404,0.02186564,0.05438099,0.02263090,0.01441909,0.01345631
11/10/05,0.00952978,0.00139404,0.02458600,0.05643311,0.02559141,0.01517244,0.01301659
11/11/05,0.00952953,0.00139404,0.02707179,0.05801480,0.02820628,0.01585728,0.01244973
11/14/05,0.00958150,0.00139404,0.02935754,0.05928330,0.03054085,0.01631557,0.01184654
11/15/05,0.00952853,0.00139404,0.03144707,0.06021281,0.03260199,0.01675801,0.01120448
11/16/05,0.00952829,0.00139404,0.03333764,0.06077328,0.03435757,0.01715878,0.01043344
11/17/05,0.00952804,0.00139404,0.03500061,0.06103362,0.03591968,0.01740128,0.00961171
11/18/05,0.00952779,0.00139404,0.03646861,0.06102297,0.03714224,0.01770884,0.00875151
11/21/05,0.00957974,0.00139404,0.03758032,0.06051195,0.03804532,0.01790838,0.00789033
11/22/05,0.00952679,0.00139404,0.03844085,0.05979594,0.03861755,0.01800370,0.00699338
