Date,Total Jobs 30d,GNP 90d,XLP 30d,Inflation 1yr,XLY 30d,XLU 30d,XLU next 30d
10/3/05,-0.00006686,0.01105774,-0.00309477,0.00959201,-0.04019067,-0.00064894,-0.03846919
10/4/05,-0.00006686,0.01105774,-0.00320044,0.00953899,-0.04033962,-0.00496955,-0.03581943
10/5/05,-0.00006686,0.01105774,-0.00329433,0.00953874,-0.04042991,-0.00943738,-0.03287637
10/6/05,-0.00006686,0.01105774,-0.00334998,0.00953849,-0.04021961,-0.01389230,-0.02970377
10/7/05,-0.00006686,0.01105774,-0.00339116,0.00953824,-0.03990757,-0.01819176,-0.02650929
10/10/05,-0.00006686,0.01105774,-0.00323864,0.00959026,-0.03933962,-0.02250691,-0.02305994
10/11/05,-0.00006686,0.01105774,-0.00304514,0.00953725,-0.03833957,-0.02639208,-0.01959798
10/12/05,-0.00006686,0.01105774,-0.00255235,0.00953700,-0.03706554,-0.03011687,-0.01607014
10/13/05,-0.00006686,0.01105774,-0.00210645,0.00953675,-0.03550157,-0.03358434,-0.01245714
10/14/05,-0.00006686,0.01105774,-0.00144902,0.00953650,-0.03368017,-0.03666592,-0.00887603
10/17/05,-0.00006686,0.01105774,-0.00067370,0.00958850,-0.03156347,-0.03936142,-0.00532045
10/18/05,-0.00006686,0.01105774,0.00004012,0.00953550,-0.02927982,-0.04173916,-0.00197659
10/19/05,-0.00006686,0.01105774,0.00097513,0.00953525,-0.02669757,-0.04355867,0.00114973
10/20/05,-0.00006686,0.01105774,0.00178106,0.00953501,-0.02408051,-0.04502472,0.00407691
10/21/05,-0.00006686,0.01105774,0.00260176,0.00953476,-0.02137213,-0.04595340,0.00690916
10/24/05,-0.00006686,0.01105774,0.00349943,0.00958675,-0.01838168,-0.04651332,0.00946182
10/25/05,-0.00006686,0.01105774,0.00427931,0.00953376,-0.01545704,-0.04679627,0.01185328
10/26/05,-0.00006686,0.01105774,0.00509760,0.00953351,-0.01230972,-0.04669215,0.01399205
10/27/05,0.00000000,0.01105774,0.00587730,0.00953326,-0.00907173,-0.04636403,0.01611659
10/28/05,0.00139404,0.01105774,0.00667163,0.00953301,-0.00565445,-0.04554062,0.01799681
10/31/05,0.00139404,0.01105774,0.00760807,0.00958500,-0.00201319,-0.04437702,0.01965366
11/1/05,0.00139404,0.01105774,0.00846765,0.00953202,0.00154736,-0.04291485,0.02122934
11/2/05,0.00139404,0.01105774,0.00948696,0.00953177,0.00528630,-0.04084558,0.02252336
11/3/05,0.00139404,0.01105774,0.01053303,0.00953152,0.00897255,-0.03846919,0.02366586
11/4/05,0.00139404,0.01105774,0.01156705,0.00953127,0.01255538,-0.03581943,0.02459529
11/7/05,0.00139404,0.01105774,0.01260142,0.00958325,0.01613920,-0.03287637,0.02549825
11/8/05,0.00139404,0.01105774,0.01350453,0.00953028,0.01951201,-0.02970377,0.02612980
11/9/05,0.00139404,0.01105774,0.01441909,0.00953003,0.02263090,-0.02650929,0.02667855
11/10/05,0.00139404,0.01105774,0.01517244,0.00952978,0.02559141,-0.02305994,0.02692393
11/11/05,0.00139404,0.01105774,0.01585728,0.00952953,0.02820628,-0.01959798,0.02700981
11/14/05,0.00139404,0.01105774,0.01631557,0.00958150,0.03054085,-0.01607014,0.02690403
11/15/05,0.00139404,0.01105774,0.01675801,0.00952853,0.03260199,-0.01245714,0.02657350
11/16/05,0.00139404,0.01105774,0.01715878,0.00952829,0.03435757,-0.00887603,0.02630409
11/17/05,0.00139404,0.01105774,0.01740128,0.00952804,0.03591968,-0.00532045,0.02570755
11/18/05,0.00139404,0.01105774,0.01770884,0.00952779,0.03714224,-0.00197659,0.02527548
11/21/05,0.00139404,0.01105774,0.01790838,0.00957974,0.03804532,0.00114973,0.02476838
11/22/05,0.00139404,0.01105774,0.01800370,0.00952679,0.03861755,0.00407691,0.02434192
11/23/05,0.00139404,0.01105774,0.01809957,0.00952654,0.03899418,0.00690916,0.02390386
11/25/05,0.00139404,0.01105774,0.01808899,0.00955240,0.03904615,0.00946182,0.02352113
11/28/05,0.00000000,0.01105774,0.01796088,0.00957799,0.03872572,0.01185328,0.02304521
11/29/05,0.00306183,0.01105774,0.01776560,0.00952505,0.03803430,0.01399205,0.02274554
11/30/05,0.00306183,0.01105774,0.01750243,0.00952480,0.03708846,0.01611659,0.02227297
12/1/05,0.00306183,0.01105774,0.01722588,0.00952456,0.03594257,0.01799681,0.02170278
12/2/05,0.00306183,0.01105774,0.01676751,0.00952431,0.03444144,0.01965366,0.02116473
12/5/05,0.00306183,0.01105774,0.01635923,0.00957625,0.03282730,0.02122934,0.02042274
12/6/05,0.00306183,0.01105774,0.01587272,0.00952331,0.03108396,0.02252336,0.01969307
12/7/05,0.00306183,0.01105774,0.01536112,0.00952306,0.02928058,0.02366586,0.01885624
12/8/05,0.00306183,0.01105774,0.01492617,0.00952282,0.02744449,0.02459529,0.01800067
12/9/05,0.00306183,0.01105774,0.01437801,0.00952257,0.02559244,0.02549825,0.01708171
12/12/05,0.00306183,0.01105774,0.01393544,0.00957450,0.02370769,0.02612980,0.01617602
12/13/05,0.00306183,0.01105774,0.01345631,0.00952157,0.02182467,0.02667855,0.01519831
12/14/05,0.00306183,0.01105774,0.01301659,0.00952133,0.01998176,0.02692393,0.01433032
12/15/05,0.00306183,0.01105774,0.01244973,0.00952108,0.01813081,0.02700981,0.01345568
12/16/05,0.00306183,0.01105774,0.01184654,0.00952083,0.01624105,0.02690403,0.01253185
12/19/05,0.00306183,0.01105774,0.01120448,0.00957275,0.01435813,0.02657350,0.01178953
12/20/05,0.00306183,0.01105774,0.01043344,0.00951984,0.01263322,0.02630409,0.01081263
12/21/05,0.00306183,0.01105774,0.00961171,0.00951959,0.01086806,0.02570755,0.00990268
12/22/05,0.00306183,0.01105774,0.00875151,0.00951934,0.00929224,0.02527548,0.00901414
12/23/05,0.00306183,0.01105774,0.00789033,0.00951909,0.00786491,0.02476838,0.00807444
12/27/05,0.00306183,0.01105774,0.00699338,0.00951810,0.00661155,0.02434192,0.00713607
12/28/05,0.00000000,0.01105774,0.00618743,0.00951785,0.00557000,0.02390386,0.00612568
12/29/05,0.00000000,0.01105774,0.00544604,0.00951760,0.00473745,0.02352113,0.00502137
12/30/05,0.00241850,0.01105774,0.00470820,0.00951735,0.00402901,0.02304521,0.00403380
1/3/06,0.00241850,0.03130215,0.00401148,0.00959533,0.00353141,0.02274554,0.00303601
1/4/06,0.00241850,0.02002299,0.00339055,0.00954243,0.00325676,0.02227297,0.00207290
1/5/06,0.00241850,0.02002299,0.00264368,0.00954218,0.00299301,0.02170278,0.00124890
1/6/06,0.00241850,0.02002299,0.00194920,0.00954194,0.00285713,0.02116473,0.00050899
1/9/06,0.00241850,0.02002299,0.00127850,0.00959383,0.00272319,0.02042274,-0.00015439
1/10/06,0.00241850,0.02002299,0.00040761,0.00959358,0.00260535,0.01969307,-0.00065844
1/11/06,0.00241850,0.02002299,-0.00035063,0.00954069,0.00243988,0.01885624,-0.00108645
1/12/06,0.00241850,0.02002299,-0.00126251,0.00954044,0.00228881,0.01800067,-0.00147898
1/13/06,0.00241850,0.02002299,-0.00209913,0.00954019,0.00214507,0.01708171,-0.00170331
1/17/06,0.00241850,0.02002299,-0.00293509,0.00961814,0.00207941,0.01617602,-0.00193710
1/18/06,0.00241850,0.02002299,-0.00369360,0.00961789,0.00203145,0.01519831,-0.00211669
1/19/06,0.00241850,0.02002299,-0.00432610,0.00953870,0.00211646,0.01433032,-0.00227500
1/20/06,0.00241850,0.02002299,-0.00485590,0.00953845,0.00221021,0.01345568,-0.00247367
1/23/06,0.00241850,0.02002299,-0.00516905,0.00959033,0.00239232,0.01253185,-0.00258747
1/24/06,0.00241850,0.02002299,-0.00540267,0.00959008,0.00269315,0.01178953,-0.00273429
1/25/06,0.00241850,0.02002299,-0.00541970,0.00953721,0.00297087,0.01081263,-0.00299499
1/26/06,0.00241850,0.02002299,-0.00538291,0.00953696,0.00325024,0.00990268,-0.00322504
1/27/06,0.00241850,0.02002299,-0.00518093,0.00953671,0.00355977,0.00901414,-0.00359230
1/30/06,0.00547533,0.02002299,-0.00502761,0.00958858,0.00374343,0.00807444,-0.00386976
1/31/06,0.00304945,0.02002299,-0.00475986,0.00958833,0.00387193,0.00713607,-0.00420175
2/1/06,0.00304945,0.02002299,-0.00452925,0.00953547,0.00393660,0.00612568,-0.00455303
2/2/06,0.00304945,0.02002299,-0.00422416,0.00953522,0.00388969,0.00502137,-0.00488112
2/3/06,0.00304945,0.02002299,-0.00385612,0.00953498,0.00377908,0.00403380,-0.00519983
2/6/06,0.00304945,0.02002299,-0.00338523,0.00958683,0.00370598,0.00303601,-0.00563471
2/7/06,0.00304945,0.02002299,-0.00276243,0.00958658,0.00354603,0.00207290,-0.00617382
2/8/06,0.00304945,0.02002299,-0.00208522,0.00953373,0.00348719,0.00124890,-0.00679846
2/9/06,0.00304945,0.02002299,-0.00115308,0.00953348,0.00344432,0.00050899,-0.00762412
2/10/06,0.00304945,0.02002299,-0.00021755,0.00953324,0.00354301,-0.00015439,-0.00856796
2/13/06,0.00304945,0.02002299,0.00095053,0.00958508,0.00369096,-0.00065844,-0.00961145
2/14/06,0.00304945,0.02002299,0.00218531,0.00958483,0.00396610,-0.00108645,-0.01080359
2/15/06,0.00304945,0.02002299,0.00352430,0.00953200,0.00421260,-0.00147898,-0.01198643
2/16/06,0.00304945,0.02002299,0.00485293,0.00953175,0.00452987,-0.00170331,-0.01314117
2/17/06,0.00304945,0.02002299,0.00620814,0.00953150,0.00482232,-0.00193710,-0.01437917
2/21/06,0.00304945,0.02002299,0.00752678,0.00960938,0.00506861,-0.00211669,-0.01552324
2/22/06,0.00304945,0.02002299,0.00879370,0.00960913,0.00530571,-0.00227500,-0.01661569
2/23/06,0.00304945,0.02002299,0.00994593,0.00953001,0.00544899,-0.00247367,-0.01759276
2/24/06,0.00304945,0.02002299,0.01095635,0.00952976,0.00557625,-0.00258747,-0.01843542
2/27/06,0.00643973,0.02002299,0.01196403,0.00958159,0.00570886,-0.00273429,-0.01914116
2/28/06,0.00337997,0.02002299,0.01280426,0.00958134,0.00572474,-0.00299499,-0.01965723
3/1/06,0.00337997,0.02002299,0.01369407,0.00952852,0.00581858,-0.00322504,-0.02001282
3/2/06,0.00337997,0.02002299,0.01446719,0.00952827,0.00586474,-0.00359230,-0.02009451
3/3/06,0.00337997,0.02002299,0.01530392,0.00952802,0.00594976,-0.00386976,-0.02018428
3/6/06,0.00337997,0.02002299,0.01607629,0.00957984,0.00611264,-0.00420175,-0.02016731
3/7/06,0.00337997,0.02002299,0.01683625,0.00957959,0.00634613,-0.00455303,-0.02000238
3/8/06,0.00337997,0.02002299,0.01746866,0.00952678,0.00661292,-0.00488112,-0.01971053
3/9/06,0.00337997,0.02002299,0.01792011,0.00952654,0.00695179,-0.00519983,-0.01930003
3/10/06,0.00337997,0.02002299,0.01821577,0.00952629,0.00728319,-0.00563471,-0.01859462
3/13/06,0.00337997,0.02002299,0.01825107,0.00957810,0.00758447,-0.00617382,-0.01775883
3/14/06,0.00337997,0.02002299,0.01807955,0.00957785,0.00783761,-0.00679846,-0.01670546
3/15/06,0.00337997,0.02002299,0.01761061,0.00952505,0.00796532,-0.00762412,-0.01536241
3/16/06,0.00337997,0.02002299,0.01700981,0.00952480,0.00802741,-0.00856796,-0.01388580
3/17/06,0.00337997,0.02002299,0.01614031,0.00952455,0.00797876,-0.00961145,-0.01225467
3/20/06,0.00337997,0.02002299,0.01523024,0.00957635,0.00789671,-0.01080359,-0.01066813
3/21/06,0.00337997,0.02002299,0.01402958,0.00957610,0.00775310,-0.01198643,-0.00886650
3/22/06,0.00337997,0.02002299,0.01286585,0.00952331,0.00763264,-0.01314117,-0.00714649
3/23/06,0.00337997,0.02002299,0.01147592,0.00952307,0.00741873,-0.01437917,-0.00534710
3/24/06,0.00337997,0.02002299,0.01018656,0.00952282,0.00729686,-0.01552324,-0.00361557
3/27/06,0.00000000,0.02002299,0.00876046,0.00957461,0.00712776,-0.01661569,-0.00176381
3/28/06,0.00000000,0.02002299,0.00736249,0.00949556,0.00698315,-0.01759276,-0.00000450
3/29/06,0.00000000,0.02002299,0.00603015,0.00949532,0.00688647,-0.01843542,0.00179970
3/30/06,0.00138998,0.02002299,0.00471153,0.00949507,0.00677398,-0.01914116,0.00338353
3/31/06,0.00138998,0.02002299,0.00334688,0.00949482,0.00673892,-0.01965723,0.00488395
4/3/06,0.00138998,0.03086043,0.00202140,0.00954660,0.00668091,-0.02001282,0.00640383
4/4/06,0.00138998,0.03086043,0.00067290,0.00949384,0.00667708,-0.02009451,0.00769664
4/5/06,0.00138998,0.01062470,-0.00066177,0.00949359,0.00665021,-0.02018428,0.00891411
4/6/06,0.00138998,0.01062470,-0.00192066,0.00949334,0.00660746,-0.02016731,0.01012996
4/7/06,0.00138998,0.01062470,-0.00312680,0.00949310,0.00651715,-0.02000238,0.01115124
4/10/06,0.00138998,0.01062470,-0.00417949,0.00954486,0.00636547,-0.01971053,0.01198808
4/11/06,0.00138998,0.01062470,-0.00506552,0.00949211,0.00623688,-0.01930003,0.01287380
4/12/06,0.00138998,0.01062470,-0.00560252,0.00949186,0.00613805,-0.01859462,0.01352685
4/13/06,0.00138998,0.01062470,-0.00599944,0.00949161,0.00607117,-0.01775883,0.01397310
4/17/06,0.00138998,0.01062470,-0.00622818,0.00956938,0.00597613,-0.01670546,0.01446961
4/18/06,0.00138998,0.01062470,-0.00614328,0.00956913,0.00604407,-0.01536241,0.01483259
4/19/06,0.00138998,0.01062470,-0.00594368,0.00951638,0.00606660,-0.01388580,0.01523761
4/20/06,0.00138998,0.01062470,-0.00546966,0.00951613,0.00613649,-0.01225467,0.01552361
4/21/06,0.00138998,0.01062470,-0.00496740,0.00951589,0.00616796,-0.01066813,0.01603579
4/24/06,0.00138998,0.01062470,-0.00416466,0.00956764,0.00626067,-0.00886650,0.01639756
4/25/06,0.00138998,0.01062470,-0.00333335,0.00956739,0.00631480,-0.00714649,0.01683389
4/26/06,0.00138998,0.01062470,-0.00226257,0.00951465,0.00643888,-0.00534710,0.01720269
4/27/06,0.00138998,0.01062470,-0.00128684,0.00951440,0.00639526,-0.00361557,0.01759221
4/28/06,0.00128220,0.01062470,-0.00013547,0.00951415,0.00644957,-0.00176381,0.01784086
5/1/06,0.00128220,0.01062470,0.00098021,0.00956590,0.00643260,-0.00000450,0.01816328
5/2/06,0.00128220,0.01062470,0.00212233,0.00956565,0.00637703,0.00179970,0.01822693
5/3/06,0.00128220,0.01062470,0.00312969,0.00951292,0.00623086,0.00338353,0.01845996
5/4/06,0.00128220,0.01062470,0.00423695,0.00951267,0.00599206,0.00488395,0.01872640
5/5/06,0.00128220,0.01062470,0.00523200,0.00951242,0.00563687,0.00640383,0.01895947
5/8/06,0.00128220,0.01062470,0.00616565,0.00956416,0.00514121,0.00769664,0.01920351
5/9/06,0.00128220,0.01062470,0.00702362,0.00956391,0.00450520,0.00891411,0.01949266
5/10/06,0.00128220,0.01062470,0.00772934,0.00951119,0.00370658,0.01012996,0.01982197
5/11/06,0.00128220,0.01062470,0.00831943,0.00951094,0.00276799,0.01115124,0.02007709
5/12/06,0.00128220,0.01062470,0.00868187,0.00951069,0.00170505,0.01198808,0.02049432
5/15/06,0.00128220,0.01062470,0.00901619,0.00956242,0.00063810,0.01287380,0.02099362
5/16/06,0.00128220,0.01062470,0.00913190,0.00956217,-0.00059971,0.01352685,0.02135322
5/17/06,0.00128220,0.01062470,0.00906835,0.00950946,-0.00191459,0.01397310,0.02181974
5/18/06,0.00128220,0.01062470,0.00896489,0.00950921,-0.00319910,0.01446961,0.02235791
5/19/06,0.00128220,0.01062470,0.00875907,0.00950896,-0.00450001,0.01483259,0.02290463
5/22/06,0.00128220,0.01062470,0.00850209,0.00956068,-0.00582289,0.01523761,0.02338406
5/23/06,0.00128220,0.01062470,0.00810568,0.00956043,-0.00711368,0.01552361,0.02398048
5/24/06,0.00128220,0.01062470,0.00765846,0.00950773,-0.00837263,0.01603579,0.02455224
5/25/06,0.00128220,0.01062470,0.00704728,0.00950748,-0.00972077,0.01639756,0.02517673
5/26/06,0.00000000,0.01062470,0.00647135,0.00950723,-0.01094123,0.01683389,0.02589375
5/30/06,0.00202693,0.01062470,0.00576841,0.00958491,-0.01222264,0.01720269,0.02662125
5/31/06,0.00202693,0.01062470,0.00511725,0.00958467,-0.01337294,0.01759221,0.02738058
6/1/06,0.00202693,0.01062470,0.00450367,0.00950575,-0.01455917,0.01784086,0.02834142
6/2/06,0.00202693,0.01062470,0.00391649,0.00950551,-0.01571526,0.01816328,0.02916325
6/5/06,0.00202693,0.01062470,0.00338032,0.00955720,-0.01684886,0.01822693,0.03027974
6/6/06,0.00202693,0.01062470,0.00300801,0.00955695,-0.01787684,0.01845996,0.03127878
6/7/06,0.00202693,0.01062470,0.00274866,0.00950427,-0.01875343,0.01872640,0.03228611
6/8/06,0.00202693,0.01062470,0.00265248,0.00950403,-0.01947717,0.01895947,0.03338585
6/9/06,0.00202693,0.01062470,0.00269679,0.00950378,-0.01999591,0.01920351,0.03445057
6/12/06,0.00202693,0.01062470,0.00294311,0.00955546,-0.02037640,0.01949266,0.03560724
6/13/06,0.00202693,0.01062470,0.00329291,0.00955522,-0.02060841,0.01982197,0.03666689
6/14/06,0.00202693,0.01062470,0.00379390,0.00950254,-0.02065467,0.02007709,0.03777655
6/15/06,0.00202693,0.01062470,0.00444638,0.00950230,-0.02056437,0.02049432,0.03891537
6/16/06,0.00202693,0.01062470,0.00523632,0.00950205,-0.02042753,0.02099362,0.03991111
6/19/06,0.00202693,0.01062470,0.00606518,0.00955373,-0.02033461,0.02135322,0.04082024
6/20/06,0.00202693,0.01062470,0.00695841,0.00955348,-0.02024038,0.02181974,0.04165365
6/21/06,0.00202693,0.01062470,0.00793844,0.00950082,-0.02001265,0.02235791,0.04227228
6/22/06,0.00202693,0.01062470,0.00894356,0.00950057,-0.01998389,0.02290463,0.04272767
6/23/06,0.00202693,0.01062470,0.00996246,0.00950032,-0.01996870,0.02338406,0.04302096
6/26/06,0.00202693,0.01062470,0.01109402,0.00955199,-0.01991798,0.02398048,0.04315195
6/27/06,0.00000000,0.01062470,0.01227630,0.00955174,-0.01988452,0.02455224,0.04298864
6/28/06,0.00000000,0.01062470,0.01352265,0.00949909,-0.01984925,0.02517673,0.04282151
6/29/06,0.00073664,0.01062470,0.01472084,0.00949885,-0.01990402,0.02589375,0.04242542
6/30/06,0.00073664,0.01062470,0.01595507,0.00949860,-0.01996820,0.02662125,0.04187366
7/3/06,0.00073664,0.01757556,0.01717610,0.00955026,-0.02002990,0.02738058,0.04127993
7/5/06,0.00073664,0.00687779,0.01830796,0.00957596,-0.02016193,0.02834142,0.04040487
7/6/06,0.00073664,0.00687779,0.01933968,0.00949712,-0.02028536,0.02916325,0.03958411
7/7/06,0.00073664,0.00687779,0.02035605,0.00949687,-0.02047744,0.03027974,0.03854960
7/10/06,0.00073664,0.00687779,0.02113421,0.00954852,-0.02071686,0.03127878,0.03745694
7/11/06,0.00073664,0.00687779,0.02193114,0.00954827,-0.02099143,0.03228611,0.03630622
7/12/06,0.00073664,0.00687779,0.02242531,0.00949564,-0.02132476,0.03338585,0.03497520
7/13/06,0.00073664,0.00687779,0.02292617,0.00949540,-0.02169050,0.03445057,0.03357809
7/14/06,0.00073664,0.00687779,0.02327250,0.00949515,-0.02203076,0.03560724,0.03199173
7/17/06,0.00073664,0.00687779,0.02359203,0.00954679,-0.02220060,0.03666689,0.03036061
7/18/06,0.00073664,0.00687779,0.02384760,0.00954654,-0.02229761,0.03777655,0.02865627
7/19/06,0.00073664,0.00687779,0.02411275,0.00949392,-0.02216737,0.03891537,0.02685004
7/20/06,0.00073664,0.00687779,0.02426512,0.00949367,-0.02196303,0.03991111,0.02505078
7/21/06,0.00073664,0.00687779,0.02439008,0.00949343,-0.02161666,0.04082024,0.02327926
7/24/06,0.00073664,0.00687779,0.02445300,0.00954505,-0.02096314,0.04165365,0.02153673
7/25/06,0.00073664,0.00687779,0.02450169,0.00954481,-0.02034574,0.04227228,0.01993212
7/26/06,0.00073664,0.00687779,0.02447427,0.00949219,-0.01958347,0.04272767,0.01832781
7/27/06,0.00073664,0.00687779,0.02442140,0.00949195,-0.01866836,0.04302096,0.01684041
7/28/06,0.00109629,0.00687779,0.02431683,0.00949170,-0.01769420,0.04315195,0.01532898
7/31/06,0.00109629,0.00687779,0.02423532,0.00954332,-0.01660766,0.04298864,0.01401144
8/1/06,0.00109629,0.00687779,0.02409181,0.00954307,-0.01543898,0.04282151,0.01269878
8/2/06,0.00109629,0.00687779,0.02409621,0.00949047,-0.01404458,0.04242542,0.01142082
8/3/06,0.00109629,0.00687779,0.02405280,0.00949023,-0.01250981,0.04187366,0.01022641
8/4/06,0.00109629,0.00687779,0.02405920,0.00948998,-0.01092827,0.04127993,0.00902613
8/7/06,0.00109629,0.00687779,0.02405366,0.00954159,-0.00915987,0.04040487,0.00802398
8/8/06,0.00109629,0.00687779,0.02423214,0.00954134,-0.00725931,0.03958411,0.00699556
8/9/06,0.00109629,0.00687779,0.02436236,0.00948875,-0.00517567,0.03854960,0.00606825
8/10/06,0.00109629,0.00687779,0.02477556,0.00948850,-0.00275819,0.03745694,0.00525084
8/11/06,0.00109629,0.00687779,0.02506833,0.00948826,-0.00028206,0.03630622,0.00454282
8/14/06,0.00109629,0.00687779,0.02547256,0.00953986,0.00223772,0.03497520,0.00403153
8/15/06,0.00109629,0.00687779,0.02588629,0.00953961,0.00482045,0.03357809,0.00365912
8/16/06,0.00109629,0.00687779,0.02617852,0.00948703,0.00730413,0.03199173,0.00348454
8/17/06,0.00109629,0.00687779,0.02644406,0.00948678,0.00965279,0.03036061,0.00357341
8/18/06,0.00109629,0.00687779,0.02676817,0.00948654,0.01197557,0.02865627,0.00381106
8/21/06,0.00109629,0.00687779,0.02691065,0.00953813,0.01403862,0.02685004,0.00427617
8/22/06,0.00109629,0.00687779,0.02711346,0.00953788,0.01601912,0.02505078,0.00496654
8/23/06,0.00109629,0.00687779,0.02723181,0.00948531,0.01813440,0.02327926,0.00568011
8/24/06,0.00109629,0.00687779,0.02742105,0.00948506,0.02021434,0.02153673,0.00660809
8/25/06,0.00000000,0.00687779,0.02752607,0.00948481,0.02230284,0.01993212,0.00759490
8/28/06,0.00000000,0.00687779,0.02759472,0.00953640,0.02448088,0.01832781,0.00871046
8/29/06,0.00000000,0.00687779,0.02760384,0.00953615,0.02668216,0.01684041,0.00999190
