Date,Inflation 1yr,Total Jobs 30d,GNP 90d,XLP 30d,XLY 30d,XLV 30d,XLV next 30d
10/3/05,0.00959201,-0.00006686,0.01105774,-0.00309477,-0.04019067,-0.01363108,-0.01252395
10/4/05,0.00953899,-0.00006686,0.01105774,-0.00320044,-0.04033962,-0.01536244,-0.01029398
10/5/05,0.00953874,-0.00006686,0.01105774,-0.00329433,-0.04042991,-0.01720579,-0.00800365
10/6/05,0.00953849,-0.00006686,0.01105774,-0.00334998,-0.04021961,-0.01890583,-0.00574889
10/7/05,0.00953824,-0.00006686,0.01105774,-0.00339116,-0.03990757,-0.02048622,-0.00355613
10/10/05,0.00959026,-0.00006686,0.01105774,-0.00323864,-0.03933962,-0.02182884,-0.00137682
10/11/05,0.00953725,-0.00006686,0.01105774,-0.00304514,-0.03833957,-0.02287519,0.00062202
10/12/05,0.00953700,-0.00006686,0.01105774,-0.00255235,-0.03706554,-0.02374859,0.00253602
10/13/05,0.00953675,-0.00006686,0.01105774,-0.00210645,-0.03550157,-0.02442212,0.00445172
10/14/05,0.00953650,-0.00006686,0.01105774,-0.00144902,-0.03368017,-0.02489005,0.00631704
10/17/05,0.00958850,-0.00006686,0.01105774,-0.00067370,-0.03156347,-0.02521365,0.00812308
10/18/05,0.00953550,-0.00006686,0.01105774,0.00004012,-0.02927982,-0.02540792,0.00991353
10/19/05,0.00953525,-0.00006686,0.01105774,0.00097513,-0.02669757,-0.02535636,0.01161536
10/20/05,0.00953501,-0.00006686,0.01105774,0.00178106,-0.02408051,-0.02522633,0.01319364
10/21/05,0.00953476,-0.00006686,0.01105774,0.00260176,-0.02137213,-0.02493009,0.01471857
10/24/05,0.00958675,-0.00006686,0.01105774,0.00349943,-0.01838168,-0.02435136,0.01615172
10/25/05,0.00953376,-0.00006686,0.01105774,0.00427931,-0.01545704,-0.02359185,0.01734259
10/26/05,0.00953351,-0.00006686,0.01105774,0.00509760,-0.01230972,-0.02265597,0.01846808
10/27/05,0.00953326,0.00000000,0.01105774,0.00587730,-0.00907173,-0.02145582,0.01949961
10/28/05,0.00953301,0.00139404,0.01105774,0.00667163,-0.00565445,-0.02006002,0.02046535
10/31/05,0.00958500,0.00139404,0.01105774,0.00760807,-0.00201319,-0.01841877,0.02128610
11/1/05,0.00953202,0.00139404,0.01105774,0.00846765,0.00154736,-0.01663294,0.02208477
11/2/05,0.00953177,0.00139404,0.01105774,0.00948696,0.00528630,-0.01464866,0.02279847
11/3/05,0.00953152,0.00139404,0.01105774,0.01053303,0.00897255,-0.01252395,0.02346588
11/4/05,0.00953127,0.00139404,0.01105774,0.01156705,0.01255538,-0.01029398,0.02414885
11/7/05,0.00958325,0.00139404,0.01105774,0.01260142,0.01613920,-0.00800365,0.02482942
11/8/05,0.00953028,0.00139404,0.01105774,0.01350453,0.01951201,-0.00574889,0.02547289
11/9/05,0.00953003,0.00139404,0.01105774,0.01441909,0.02263090,-0.00355613,0.02619560
11/10/05,0.00952978,0.00139404,0.01105774,0.01517244,0.02559141,-0.00137682,0.02689834
11/11/05,0.00952953,0.00139404,0.01105774,0.01585728,0.02820628,0.00062202,0.02756424
11/14/05,0.00958150,0.00139404,0.01105774,0.01631557,0.03054085,0.00253602,0.02814338
11/15/05,0.00952853,0.00139404,0.01105774,0.01675801,0.03260199,0.00445172,0.02866673
11/16/05,0.00952829,0.00139404,0.01105774,0.01715878,0.03435757,0.00631704,0.02908997
11/17/05,0.00952804,0.00139404,0.01105774,0.01740128,0.03591968,0.00812308,0.02935331
11/18/05,0.00952779,0.00139404,0.01105774,0.01770884,0.03714224,0.00991353,0.02955232
11/21/05,0.00957974,0.00139404,0.01105774,0.01790838,0.03804532,0.01161536,0.02967824
11/22/05,0.00952679,0.00139404,0.01105774,0.01800370,0.03861755,0.01319364,0.02968243
11/23/05,0.00952654,0.00139404,0.01105774,0.01809957,0.03899418,0.01471857,0.02967690
11/25/05,0.00955240,0.00139404,0.01105774,0.01808899,0.03904615,0.01615172,0.02961583
11/28/05,0.00957799,0.00000000,0.01105774,0.01796088,0.03872572,0.01734259,0.02941719
11/29/05,0.00952505,0.00306183,0.01105774,0.01776560,0.03803430,0.01846808,0.02917540
11/30/05,0.00952480,0.00306183,0.01105774,0.01750243,0.03708846,0.01949961,0.02881143
12/1/05,0.00952456,0.00306183,0.01105774,0.01722588,0.03594257,0.02046535,0.02823895
12/2/05,0.00952431,0.00306183,0.01105774,0.01676751,0.03444144,0.02128610,0.02759518
12/5/05,0.00957625,0.00306183,0.01105774,0.01635923,0.03282730,0.02208477,0.02673544
12/6/05,0.00952331,0.00306183,0.01105774,0.01587272,0.03108396,0.02279847,0.02570223
12/7/05,0.00952306,0.00306183,0.01105774,0.01536112,0.02928058,0.02346588,0.02449693
12/8/05,0.00952282,0.00306183,0.01105774,0.01492617,0.02744449,0.02414885,0.02314564
12/9/05,0.00952257,0.00306183,0.01105774,0.01437801,0.02559244,0.02482942,0.02169996
12/12/05,0.00957450,0.00306183,0.01105774,0.01393544,0.02370769,0.02547289,0.02013740
12/13/05,0.00952157,0.00306183,0.01105774,0.01345631,0.02182467,0.02619560,0.01849280
12/14/05,0.00952133,0.00306183,0.01105774,0.01301659,0.01998176,0.02689834,0.01684333
12/15/05,0.00952108,0.00306183,0.01105774,0.01244973,0.01813081,0.02756424,0.01519719
12/16/05,0.00952083,0.00306183,0.01105774,0.01184654,0.01624105,0.02814338,0.01362583
12/19/05,0.00957275,0.00306183,0.01105774,0.01120448,0.01435813,0.02866673,0.01218811
12/20/05,0.00951984,0.00306183,0.01105774,0.01043344,0.01263322,0.02908997,0.01089001
12/21/05,0.00951959,0.00306183,0.01105774,0.00961171,0.01086806,0.02935331,0.00960899
12/22/05,0.00951934,0.00306183,0.01105774,0.00875151,0.00929224,0.02955232,0.00858523
12/23/05,0.00951909,0.00306183,0.01105774,0.00789033,0.00786491,0.02967824,0.00749916
12/27/05,0.00951810,0.00306183,0.01105774,0.00699338,0.00661155,0.02968243,0.00652750
12/28/05,0.00951785,0.00000000,0.01105774,0.00618743,0.00557000,0.02967690,0.00563444
12/29/05,0.00951760,0.00000000,0.01105774,0.00544604,0.00473745,0.02961583,0.00471865
12/30/05,0.00951735,0.00241850,0.01105774,0.00470820,0.00402901,0.02941719,0.00398875
1/3/06,0.00959533,0.00241850,0.03130215,0.00401148,0.00353141,0.02917540,0.00337028
1/4/06,0.00954243,0.00241850,0.02002299,0.00339055,0.00325676,0.02881143,0.00285650
1/5/06,0.00954218,0.00241850,0.02002299,0.00264368,0.00299301,0.02823895,0.00262137
1/6/06,0.00954194,0.00241850,0.02002299,0.00194920,0.00285713,0.02759518,0.00249792
1/9/06,0.00959383,0.00241850,0.02002299,0.00127850,0.00272319,0.02673544,0.00260298
1/10/06,0.00959358,0.00241850,0.02002299,0.00040761,0.00260535,0.02570223,0.00284566
1/11/06,0.00954069,0.00241850,0.02002299,-0.00035063,0.00243988,0.02449693,0.00326737
1/12/06,0.00954044,0.00241850,0.02002299,-0.00126251,0.00228881,0.02314564,0.00381736
1/13/06,0.00954019,0.00241850,0.02002299,-0.00209913,0.00214507,0.02169996,0.00440317
1/17/06,0.00961814,0.00241850,0.02002299,-0.00293509,0.00207941,0.02013740,0.00513086
1/18/06,0.00961789,0.00241850,0.02002299,-0.00369360,0.00203145,0.01849280,0.00579432
1/19/06,0.00953870,0.00241850,0.02002299,-0.00432610,0.00211646,0.01684333,0.00651636
1/20/06,0.00953845,0.00241850,0.02002299,-0.00485590,0.00221021,0.01519719,0.00712129
1/23/06,0.00959033,0.00241850,0.02002299,-0.00516905,0.00239232,0.01362583,0.00757632
1/24/06,0.00959008,0.00241850,0.02002299,-0.00540267,0.00269315,0.01218811,0.00805271
1/25/06,0.00953721,0.00241850,0.02002299,-0.00541970,0.00297087,0.01089001,0.00822625
1/26/06,0.00953696,0.00241850,0.02002299,-0.00538291,0.00325024,0.00960899,0.00846466
1/27/06,0.00953671,0.00241850,0.02002299,-0.00518093,0.00355977,0.00858523,0.00853272
1/30/06,0.00958858,0.00547533,0.02002299,-0.00502761,0.00374343,0.00749916,0.00859162
1/31/06,0.00958833,0.00304945,0.02002299,-0.00475986,0.00387193,0.00652750,0.00863390
2/1/06,0.00953547,0.00304945,0.02002299,-0.00452925,0.00393660,0.00563444,0.00858499
2/2/06,0.00953522,0.00304945,0.02002299,-0.00422416,0.00388969,0.00471865,0.00853644
2/3/06,0.00953498,0.00304945,0.02002299,-0.00385612,0.00377908,0.00398875,0.00831965
2/6/06,0.00958683,0.00304945,0.02002299,-0.00338523,0.00370598,0.00337028,0.00791770
2/7/06,0.00958658,0.00304945,0.02002299,-0.00276243,0.00354603,0.00285650,0.00742956
2/8/06,0.00953373,0.00304945,0.02002299,-0.00208522,0.00348719,0.00262137,0.00667201
2/9/06,0.00953348,0.00304945,0.02002299,-0.00115308,0.00344432,0.00249792,0.00574574
2/10/06,0.00953324,0.00304945,0.02002299,-0.00021755,0.00354301,0.00260298,0.00460010
2/13/06,0.00958508,0.00304945,0.02002299,0.00095053,0.00369096,0.00284566,0.00326990
2/14/06,0.00958483,0.00304945,0.02002299,0.00218531,0.00396610,0.00326737,0.00184587
2/15/06,0.00953200,0.00304945,0.02002299,0.00352430,0.00421260,0.00381736,0.00019837
2/16/06,0.00953175,0.00304945,0.02002299,0.00485293,0.00452987,0.00440317,-0.00144125
2/17/06,0.00953150,0.00304945,0.02002299,0.00620814,0.00482232,0.00513086,-0.00334486
2/21/06,0.00960938,0.00304945,0.02002299,0.00752678,0.00506861,0.00579432,-0.00519941
2/22/06,0.00960913,0.00304945,0.02002299,0.00879370,0.00530571,0.00651636,-0.00721117
2/23/06,0.00953001,0.00304945,0.02002299,0.00994593,0.00544899,0.00712129,-0.00918162
2/24/06,0.00952976,0.00304945,0.02002299,0.01095635,0.00557625,0.00757632,-0.01111080
2/27/06,0.00958159,0.00643973,0.02002299,0.01196403,0.00570886,0.00805271,-0.01310433
2/28/06,0.00958134,0.00337997,0.02002299,0.01280426,0.00572474,0.00822625,-0.01505485
